keywords,number_of_times_word_appeared,tf,idf,tf_idf
in,1865,0.017990990035017317,-7.5310163320779155,-0.13549043978396644
he,1805,0.01741219142799263,-7.498315870766981,-0.13056211132934992
the,1632,0.01574332211107145,-7.397561535524052,-0.11646219409022748
on,1554,0.014990883921939362,-7.348587530927593,-0.11016182266634653
an,1442,0.01391045985549328,-7.273786317844895,-0.1011817125718177
or,1124,0.010842827238262447,-7.024649030453636,-0.07616705584663658
at,1086,0.010476254787146812,-6.990256500493881,-0.07323170812668314
tion,868,0.008373286514957121,-6.7661917146603505,-0.056655261841980116
to,822,0.007929540916238195,-6.71174039505618,-0.053221020081766685
is,766,0.007389328883015155,-6.641182169740591,-0.0490738792242294
it,732,0.007061343005701166,-6.595780513961311,-0.04657506859940075
and,663,0.006395724607622778,-6.4967749901858625,-0.04155158367491995
ing,658,0.00634749139037072,-6.489204931325317,-0.041190172431938676
co,640,0.006173851808263315,-6.461468176353717,-0.03989214698461726
le,586,0.005652933061941098,-6.373319789577012,-0.036027950152823375
ca,520,0.005016254594213943,-6.253828811575473,-0.03137079750749299
for,375,0.003617491293904286,-5.926926025970411,-0.021440603298562688
vi,317,0.003057985973780423,-5.75890177387728,-0.017610640848895923
com,256,0.002469540723305326,-5.545177444479562,-0.013694041517096437
tem,238,0.00229590114119792,-5.472270673671475,-0.01256379248462625
system,212,0.0020450884114872232,-5.356586274672012,-0.010954692515463249
user,206,0.0019872085507847545,-5.327876168789581,-0.010587601080140974
tions,191,0.001842508899028583,-5.25227342804663,-0.009677360531307277
form,175,0.0016881626038220002,-5.1647859739235145,-0.008718998537922065
we,166,0.0016013428127682973,-5.111987788356543,-0.008186044903844053
design,165,0.0015916961693178857,-5.10594547390058,-0.00812711385155355
that,134,0.0012926502223551315,-4.897839799950911,-0.006331193706466358
red,126,0.00121547707475184,-4.836281906951478,-0.005878389784936633
theuser,117,0.0011286572836981372,-4.762173934797756,-0.0053748622977469055
with,104,0.0010032509188427885,-4.6443908991413725,-0.004659489437028667
by,104,0.0010032509188427885,-4.6443908991413725,-0.004659489437028667
tems,101,0.0009743109884915544,-4.61512051684126,-0.004496562632771261
there,97,0.0009357244146899087,-4.574710978503383,-0.0042806687527355775
which,96,0.0009260777712394973,-4.564348191467836,-0.004226941400315563
formation,93,0.0008971378408882629,-4.532599493153256,-0.004066366522898747
systems,92,0.0008874911974378515,-4.5217885770490405,-0.004013047558806051
information,89,0.0008585512670866172,-4.48863636973214,-0.003853724442724602
users,80,0.0007717314760329144,-4.382026634673881,-0.0033817478827924186
interaction,78,0.0007524381891320915,-4.356708826689592,-0.0032781541001301157
ence,78,0.0007524381891320915,-4.356708826689592,-0.0032781541001301157
if,76,0.0007331449022312687,-4.330733340286331,-0.003175055071353918
rom,75,0.0007234982587808572,-4.31748811353631,-0.0031236951324505684
eg,74,0.0007138516153304458,-4.304065093204169,-0.0030724638192711822
canbe,73,0.0007042049718800343,-4.290459441148391,-0.0030213628701063304
work,71,0.0006849116849792114,-4.2626798770413155,-0.002919559257111345
rst,70,0.0006752650415288,-4.248495242049359,-0.00286886031605737
thesystem,69,0.0006656183980783886,-4.23410650459726,-0.0028182991888833133
ine,69,0.0006656183980783886,-4.23410650459726,-0.0028182991888833133
lem,68,0.0006559717546279772,-4.219507705176107,-0.00276787787303064
also,68,0.0006559717546279772,-4.219507705176107,-0.00276787787303064
mea,68,0.0006559717546279772,-4.219507705176107,-0.00276787787303064
ever,67,0.0006463251111775657,-4.204692619390966,-0.002717598424695356
tation,66,0.0006366784677271543,-4.189654742026425,-0.0026674629614591903
puter,63,0.00060773853737592,-4.143134726391533,-0.0025179426387685728
this,61,0.0005884452504750972,-4.110873864173311,-0.002419024200674995
computer,61,0.0005884452504750972,-4.110873864173311,-0.002419024200674995
time,59,0.0005691519635742744,-4.07753744390572,-0.002320738442746568
log,58,0.0005595053201238629,-4.060443010546419,-0.002271839466460476
more,58,0.0005595053201238629,-4.060443010546419,-0.002271839466460476
interface,56,0.0005402120332230401,-4.02535169073515,-0.0021745434212898374
how,55,0.0005305653897726287,-4.007333185232471,-0.0021261522933716556
but,54,0.0005209187463222172,-3.9889840465642745,-0.002077936568635587
some,52,0.0005016254594213943,-3.951243718581427,-0.0019820444456193067
using,51,0.0004919788159709829,-3.9318256327243257,-0.0019343749193920742
ram,49,0.00047268552907016006,-3.891820298110627,-0.0018396071366584097
process,48,0.00046303888561974863,-3.871201010907891,-0.0017925166021008343
through,48,0.00046303888561974863,-3.871201010907891,-0.0017925166021008343
too,48,0.00046303888561974863,-3.871201010907891,-0.0017925166021008343
task,47,0.00045339224216933715,-3.8501476017100584,-0.0017456270538222195
memory,44,0.0004244523118181029,-3.784189633918261,-0.0016062080384747063
support,43,0.00041480566836769146,-3.7612001156935624,-0.0015601671278549067
isthe,43,0.00041480566836769146,-3.7612001156935624,-0.0015601671278549067
they,42,0.00040515902491728003,-3.7376696182833684,-0.0015143505780066317
human,42,0.00040515902491728003,-3.7376696182833684,-0.0015143505780066317
language,42,0.00040515902491728003,-3.7376696182833684,-0.0015143505780066317
ratio,41,0.0003955123814668686,-3.713572066704308,-0.0014687637318510618
model,40,0.0003858657380164572,-3.6888794541139363,-0.0014234121930154198
between,39,0.00037621909456604576,-3.6635616461296463,-0.0013783018453937877
help,39,0.00037621909456604576,-3.6635616461296463,-0.0013783018453937877
technique,39,0.00037621909456604576,-3.6635616461296463,-0.0013783018453937877
two,38,0.00036657245111563434,-3.6375861597263857,-0.0013334388747152086
physical,37,0.0003569258076652229,-3.6109179126442243,-0.0012888297923833605
ale,36,0.00034727916421481143,-3.58351893845611,-0.0012444814618949862
screen,35,0.0003376325207644,-3.5553480614894135,-0.0012004011281954937
however,34,0.0003279858773139886,-3.5263605246161616,-0.0011565964503916489
device,34,0.0003279858773139886,-3.5263605246161616,-0.0011565964503916489
thereare,34,0.0003279858773139886,-3.5263605246161616,-0.0011565964503916489
ements,34,0.0003279858773139886,-3.5263605246161616,-0.0011565964503916489
most,32,0.00030869259041316574,-3.4657359027997265,-0.001069846993523159
problems,31,0.0002990459469627543,-3.4339872044851463,-0.001026919955423242
itis,31,0.0002990459469627543,-3.4339872044851463,-0.001026919955423242
ful,31,0.0002990459469627543,-3.4339872044851463,-0.001026919955423242
usability,31,0.0002990459469627543,-3.4339872044851463,-0.001026919955423242
group,30,0.0002893993035123429,-3.4011973816621555,-0.000984304153361032
world,30,0.0002893993035123429,-3.4011973816621555,-0.000984304153361032
computing,30,0.0002893993035123429,-3.4011973816621555,-0.000984304153361032
thedesign,30,0.0002893993035123429,-3.4011973816621555,-0.000984304153361032
eect,29,0.00027975266006193146,-3.367295829986474,-0.0009420099656541655
point,29,0.00027975266006193146,-3.367295829986474,-0.0009420099656541655
function,29,0.00027975266006193146,-3.367295829986474,-0.0009420099656541655
sound,29,0.00027975266006193146,-3.367295829986474,-0.0009420099656541655
speech,28,0.00027010601661152004,-3.332204510175204,-0.0009000484867783656
input,28,0.00027010601661152004,-3.332204510175204,-0.0009000484867783656
types,27,0.0002604593731611086,-3.295836866004329,-0.0008584316041607603
when,27,0.0002604593731611086,-3.295836866004329,-0.0008584316041607603
vr,27,0.0002604593731611086,-3.295836866004329,-0.0008584316041607603
vices,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
state,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
position,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
theinterface,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
environment,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
derstand,26,0.00025081272971069714,-3.258096538021482,-0.0008171720863621401
multi,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
context,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
eye,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
software,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
bed,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
output,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
nition,25,0.00024116608626028574,-3.2188758248682006,-0.0007762836848413129
introduction,24,0.00023151944280987432,-3.1780538303479458,-0.0007357812520219433
based,24,0.00023151944280987432,-3.1780538303479458,-0.0007357812520219433
size,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
touch,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
applications,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
inwhich,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
goal,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
specic,23,0.00022187279935946286,-3.1354942159291497,-0.0006956808790636045
question,22,0.00021222615590905144,-3.0910424533583156,-0.0006560000576279187
nication,22,0.00021222615590905144,-3.0910424533583156,-0.0006560000576279187
devices,22,0.00021222615590905144,-3.0910424533583156,-0.0006560000576279187
possible,22,0.00021222615590905144,-3.0910424533583156,-0.0006560000576279187
thecom,22,0.00021222615590905144,-3.0910424533583156,-0.0006560000576279187
sensor,21,0.00020257951245864002,-3.044522437723423,-0.0006167578711034012
theinteraction,21,0.00020257951245864002,-3.044522437723423,-0.0006167578711034012
recognition,21,0.00020257951245864002,-3.044522437723423,-0.0006167578711034012
rience,21,0.00020257951245864002,-3.044522437723423,-0.0006167578711034012
example,21,0.00020257951245864002,-3.044522437723423,-0.0006167578711034012
experience,20,0.0001929328690082286,-2.995732273553991,-0.0005779752223173149
where,20,0.0001929328690082286,-2.995732273553991,-0.0005779752223173149
issue,20,0.0001929328690082286,-2.995732273553991,-0.0005779752223173149
respond,20,0.0001929328690082286,-2.995732273553991,-0.0005779752223173149
ered,20,0.0001929328690082286,-2.995732273553991,-0.0005779752223173149
what,19,0.00018328622555781717,-2.9444389791664407,-0.0005396751068767291
once,19,0.00018328622555781717,-2.9444389791664407,-0.0005396751068767291
computers,19,0.00018328622555781717,-2.9444389791664407,-0.0005396751068767291
behavior,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
product,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
thecomputer,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
long,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
cycle,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
non,18,0.00017363958210740572,-2.890371757896165,-0.0005018829441761377
frame,17,0.0001639929386569943,-2.833213344056216,-0.0004646269821339887
